OBJCONT	STRATUM	CASENUM	WEIGHT	E_ACTION	EVENTNUM	GAD	OBJGAD	PJ	PSU	REGION	VEHNUM
2	4	200910423518	269.56	4	1	1	3	10	2	1	1
2	5	200910423521	89.853	5	1	3	1	10	2	1	1
137	5	200910423521	89.853	3	2	2	98	10	2	1	1
2	4	200910423524	269.56	5	1	4	1	10	2	1	1
136	6	200910423526	179.707	3	1	1	98	10	2	1	1
3	5	200910423530	53.887	5	1	4	1	4	2	1	2
1	5	200910423530	53.887	4	2	1	4	4	2	1	2
3	4	200910423532	323.32	5	1	4	1	4	2	1	2
2	4	200910423532	323.32	5	2	4	1	4	2	1	1
2	2	200910423554	27.146	4	1	4	1	1	2	1	1
101	3	200910423557	27.146	1	1	0	98	1	2	1	1
158	6	200910423560	135.73	3	1	2	98	1	2	1	1
137	4	200910423562	298.606	3	1	4	98	1	2	1	1
2	5	200910423564	81.438	4	1	1	4	1	2	1	1
2	5	200910423566	81.438	4	1	1	4	3	2	1	1
2	3	200910423573	27.146	5	1	3	1	3	2	1	1
124	4	200910423580	269.56	2	1	3	98	10	2	1	1
2	6	200910423585	161.66	4	1	1	4	4	2	1	1
124	4	200910423586	295.682	2	1	1	98	6	2	1	1
145	5	200910423590	49.28	3	1	2	98	6	2	1	1
137	5	200910423590	49.28	3	2	1	98	6	2	1	1
2	6	200910423593	147.841	4	1	1	4	6	2	1	1
124	4	200910423595	295.682	2	1	1	98	6	2	1	1
2	6	200910423601	147.841	4	1	1	4	6	2	1	1
138	5	200910423604	49.28	3	1	1	98	6	2	1	1
2	1	200910423609	27.146	4	1	1	1	1	2	1	1
2	6	200910423613	161.66	4	1	1	4	4	2	1	1
2	4	200910423621	269.56	5	1	4	1	10	2	1	1
2	6	200910423623	179.707	5	1	4	1	10	2	1	1
2	6	200910423626	179.707	4	1	1	4	10	2	1	1
136	5	200910423627	89.853	3	1	1	98	10	2	1	1
2	4	200910423631	298.606	4	1	1	2	3	2	1	1
2	6	200910423640	135.73	4	1	1	99	3	2	1	1
124	4	200910423650	295.682	2	1	1	98	6	2	1	1
101	5	200910423651	49.28	1	1	0	98	6	2	1	1
137	5	200910423651	49.28	3	2	99	98	6	2	1	1
137	6	200910423654	147.841	3	1	1	98	6	2	1	1
158	6	200910423654	147.841	3	2	99	98	6	2	1	1
158	6	200910423654	147.841	3	3	99	98	6	2	1	1
137	6	200910423654	147.841	3	4	1	98	6	2	1	1
135	1	200910423656	49.28	3	1	2	98	6	2	1	1
140	1	200910423656	49.28	3	2	99	98	6	2	1	1
101	1	200910423656	49.28	1	3	0	98	6	2	1	1
