CASENUM	VEH_NO	PER_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT
201114078679	0	1	12.6052	2	3	1	12	5	8
201114078725	0	1	12.6052	2	3	1	12	5	1
201114079171	0	1	12.211288	2	3	5	12	5	1
201114079286	0	1	12.211288	2	3	5	12	5	1
201114079364	0	1	12.6052	2	3	1	12	5	1
201114079552	0	1	12.6052	2	3	1	12	5	1
201114079605	0	1	12.6052	2	3	2	12	5	1
201114079617	0	1	12.211288	2	3	5	12	5	1
201114080065	0	1	12.6052	2	3	4	12	5	1
201114080192	0	1	12.211288	2	3	5	12	5	1
201114080201	0	1	226.8936	2	4	1	12	5	1
201114080350	0	1	41.5751	2	5	9	12	5	8
201114080387	0	1	12.6052	2	3	1	12	5	1
201114080589	0	1	12.211288	2	3	5	12	5	1
201114080774	0	1	12.6052	2	3	4	12	5	1
201114107580	0	1	12.5274	2	3	1	74	4	8
201114107744	0	1	12.5274	2	3	9	74	4	1
201114108502	0	1	225.4932	2	4	1	74	4	1
201114108519	0	1	12.5274	2	3	1	74	4	1
201114108635	0	1	12.5274	2	3	1	74	4	8
201114108784	0	1	12.5274	2	3	1	74	4	1
201114108800	0	1	12.5274	2	3	9	74	4	1
201114108962	0	1	12.5274	2	3	9	74	4	1
201114109034	0	1	12.5274	2	3	1	74	4	1
201114109126	0	1	12.5274	2	3	1	74	4	1
201114109253	0	1	12.5274	2	3	1	74	4	8
201114109313	0	1	12.5274	2	3	9	74	4	8
201114109760	0	1	12.5274	2	3	9	74	4	8
201114109849	0	1	12.5274	2	3	1	74	4	8
201114110004	0	1	12.5274	2	3	9	74	4	8
201114110004	0	2	12.5274	2	3	9	74	4	8
201114110027	0	1	12.5274	2	3	1	74	4	8
201114110068	0	1	12.5274	2	3	1	74	4	1
201114110190	0	1	12.5274	2	3	1	74	4	8
201114110470	0	1	4.1758	2	2	9	74	4	8
201114110570	0	1	12.5274	2	3	9	74	4	8
201114110570	0	2	12.5274	2	3	9	74	4	8
201114110570	0	3	12.5274	2	3	9	74	4	8
201114110745	0	1	12.5274	2	3	1	74	4	8
201114110913	0	1	12.5274	2	3	1	74	4	5
201114110985	0	1	12.5274	2	3	9	74	4	8
201114111063	0	1	12.5274	2	3	1	74	4	1
201114742985	0	1	38.9667	2	3	5	13	6	1
201114743008	0	1	233.8002	2	4	1	13	6	1
201114743186	0	1	38.9667	2	3	6	13	6	1
201114743306	0	1	38.9667	2	3	3	13	6	1
201114743563	0	1	116.9001	2	6	5	13	6	1
201114743618	0	1	38.9667	2	3	1	13	6	1
201114743618	0	2	38.9667	2	3	1	13	6	1
201114743618	0	3	38.9667	2	3	1	13	6	1
201114743910	0	1	38.9667	2	3	6	13	6	1
201114744224	0	1	38.9667	2	3	5	13	6	2
201114744399	0	1	38.9667	2	3	5	13	6	1
201114744464	0	1	233.8002	2	4	1	13	6	1
201114744476	0	1	38.9667	2	3	1	13	6	1
201114744505	0	1	38.9667	2	3	1	13	6	1
201114744582	0	1	38.9667	2	3	1	13	6	1
201114744589	0	1	38.9667	2	3	6	13	6	1
201114744655	0	1	38.9667	2	3	1	13	6	1
201114744664	0	1	233.8002	2	4	5	13	6	1
201114744805	0	1	38.9667	2	3	6	13	6	1
201114744848	0	1	38.9667	2	3	2	13	6	1
201114744903	0	1	38.9667	2	3	5	13	6	1
201114744951	0	1	38.9667	2	3	5	13	6	1
201114745135	0	1	38.9667	2	3	6	13	6	1
201114745138	0	1	38.9667	2	3	1	13	6	1
201114745166	0	1	38.9667	2	3	5	13	6	1
